# Wall heat-flux
# Time          	patch           	min             	max             	integral        
168             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
169             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
170             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
171             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
172             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
173             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
174             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
175             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
176             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
177             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
178             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
179             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
180             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
181             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
182             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
183             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
184             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
185             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
186             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
187             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
188             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
189             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
190             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
191             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
192             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
193             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
194             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
195             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
196             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
197             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
198             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
199             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
200             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
201             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
202             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
203             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
204             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
205             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
206             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
207             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
208             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
209             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
210             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
211             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
212             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
213             	chipFace	-6.67500000e-05	-6.67500000e-05	-2.67000000e-08
