# Wall heat-flux
# Time          	patch           	min             	max             	integral        
225             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
226             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
227             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
228             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
229             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
230             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
231             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
232             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
233             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
234             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
235             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
236             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
237             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
238             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
239             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
240             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
241             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
242             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
243             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
244             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
245             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
246             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
247             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
248             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
249             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
250             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
251             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
252             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
253             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
254             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
255             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
256             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
257             	chipFace	-1.84933280e-05	-1.84933280e-05	-2.95893249e-08
